Marca temporal,Nombre del observador,Sector en el que realizo la observación,Turno,Personal al que observo,Momento que observa,Accion que realizo,Momento que observa2 ,Acción que realizo2 
3/11/2025 2:21:42,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Lavado con agua y jabón (solo en guardia)
3/11/2025 2:22:08,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Enfermeria,Antes de realizar técnica Aseptica,Lavado con agua y jabón (solo en guardia),Despues de tocar fluidos,Lavado con agua y jabón (solo en guardia)
3/11/2025 2:22:37,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Enfermeria,Despues de tocar entorno,Higiene con solución alcoholica,Despues de tocar entorno.,Lavado con agua y jabón (solo en guardia)
3/11/2025 2:23:11,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Camillero,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
3/11/2025 2:23:51,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Medico Traumatologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Antes de rrealizar técnica Aseptica.,Ninguna
3/11/2025 2:24:21,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Medico Traumatologo (Staff y Residente),Después de tocar fluidos,Ninguna,Despues de tocar entorno.,Ninguna
3/11/2025 2:24:55,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
3/11/2025 2:25:35,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Residente de Clinica,Despues de tocar entorno,Ninguna,Antes de rrealizar técnica Aseptica.,Ninguna
22/11/2025 1:21:56,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
22/11/2025 1:22:34,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Residente de Clinica,Despues de tocar entorno,Ninguna,Despues de tocar entorno.,Higiene con solución alcoholica
22/11/2025 1:23:03,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Medico Traumatologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Antes de rrealizar técnica Aseptica.,Ninguna
22/11/2025 1:23:46,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Medico Traumatologo (Staff y Residente),Después de tocar fluidos,Ninguna,Despues de tocar al paciente,Ninguna
22/11/2025 1:24:26,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Medico Traumatologo (Staff y Residente),Despues de tocar al paciente,Ninguna,Despues de tocar entorno.,Higiene con solución alcoholica
22/11/2025 1:27:54,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Antes de rrealizar técnica Aseptica.,Lavado con agua y jabón (solo en guardia)
22/11/2025 1:28:18,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Enfermeria,Después de tocar fluidos,Lavado con agua y jabón (solo en guardia),Despues de tocar al paciente,Higiene con solución alcoholica
22/11/2025 1:28:42,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Enfermeria,Despues de tocar entorno,Lavado con agua y jabón (solo en guardia),Antes de tocar al paciente,Lavado con agua y jabón (solo en guardia)
22/11/2025 1:29:11,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Enfermeria,Después de tocar fluidos,Lavado con agua y jabón (solo en guardia),Despues de tocar al paciente,Lavado con agua y jabón (solo en guardia)
